threshold, tp, fp, fn
10, 1, 0, 7
20, 8, 0, 0
30, 8, 0, 0
40, 8, 0, 0
50, 8, 0, 0
60, 8, 0, 0
70, 8, 0, 0
80, 8, 0, 0
90, 8, 0, 0
100, 8, 0, 0
110, 8, 0, 0
120, 8, 0, 0
130, 8, 11, 0
140, 8, 47, 0
150, 8, 80, 0
160, 8, 112, 0
170, 8, 141, 0
180, 8, 172, 0
190, 8, 207, 0
200, 8, 232, 0
240, 8, 355, 0
280, 8, 492, 0
320, 8, 626, 0
360, 8, 802, 0
400, 8, 954, 0
440, 8, 1117, 0
480, 8, 1266, 0
