threshold, tp, fp, fn
10, 6, 1, 2
20, 7, 1, 1
30, 7, 1, 1
40, 7, 1, 1
50, 7, 1, 1
60, 7, 2, 1
70, 7, 2, 1
80, 7, 2, 1
90, 7, 2, 1
100, 7, 2, 1
110, 7, 2, 1
120, 7, 2, 1
130, 7, 23, 1
140, 7, 52, 1
150, 7, 78, 1
160, 7, 116, 1
170, 7, 152, 1
180, 7, 178, 1
190, 7, 206, 1
200, 7, 229, 1
240, 7, 332, 1
280, 7, 472, 1
320, 7, 575, 1
360, 7, 690, 1
400, 7, 828, 1
440, 7, 1011, 1
480, 7, 1143, 1
