threshold, tp, fp, fn
10, 1, 1, 7
20, 8, 2, 0
30, 8, 3, 0
40, 8, 4, 0
50, 8, 4, 0
60, 8, 4, 0
70, 8, 4, 0
80, 8, 4, 0
90, 8, 4, 0
100, 8, 4, 0
110, 8, 4, 0
120, 8, 5, 0
130, 8, 28, 0
140, 8, 52, 0
150, 8, 88, 0
160, 8, 122, 0
170, 8, 155, 0
180, 8, 178, 0
190, 8, 205, 0
200, 8, 230, 0
240, 8, 350, 0
280, 8, 453, 0
320, 8, 570, 0
360, 8, 673, 0
400, 8, 832, 0
440, 8, 993, 0
480, 8, 1179, 0
