threshold, tp, fp, fn
1, 1, 0, 7
2, 2, 0, 6
3, 3, 0, 5
4, 4, 0, 4
5, 5, 0, 3
6, 6, 0, 2
7, 6, 1, 2
8, 7, 1, 1
9, 7, 2, 1
10, 8, 2, 0
15, 8, 7, 0
20, 8, 11, 0
25, 8, 16, 0
30, 8, 21, 0
35, 8, 26, 0
40, 8, 31, 0
45, 8, 36, 0
50, 8, 41, 0
55, 8, 46, 0
60, 8, 51, 0
65, 8, 56, 0
70, 8, 61, 0
75, 8, 66, 0
80, 8, 71, 0
85, 8, 76, 0
90, 8, 81, 0
95, 8, 86, 0
