threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 43, 13243
2, 0, 1, 43, 13243
3, 0, 1, 43, 13243
4, 0, 1, 43, 13243
5, 1, 1, 42, 13243
6, 2, 1, 41, 13243
7, 3, 1, 40, 13243
8, 3, 1, 40, 13243
9, 3, 1, 40, 13243
10, 3, 1, 40, 13243
15, 3, 1, 40, 13243
20, 7, 1, 36, 13243
25, 7, 1, 36, 13243
30, 8, 1, 35, 13243
35, 8, 1, 35, 13243
40, 8, 2, 35, 13243
45, 8, 2, 35, 13243
50, 8, 2, 35, 13243
55, 8, 4, 35, 13243
60, 8, 9, 35, 13243
65, 8, 14, 35, 13243
70, 8, 19, 35, 13243
75, 8, 24, 35, 13243
80, 8, 29, 35, 13243
85, 8, 34, 35, 13243
90, 8, 39, 35, 13243
95, 8, 44, 35, 13243
