threshold, tp, fp, fn, numKnownAddresses
10, 4, 0, 45, 13371
20, 7, 0, 42, 13371
30, 8, 0, 41, 13371
40, 8, 0, 41, 13371
50, 9, 1, 40, 13371
60, 9, 1, 40, 13371
70, 9, 2, 40, 13371
80, 10, 2, 39, 13371
90, 10, 2, 39, 13371
100, 10, 2, 39, 13371
110, 10, 2, 39, 13371
120, 10, 3, 39, 13371
130, 10, 111, 39, 13371
140, 10, 247, 39, 13371
150, 10, 411, 39, 13371
160, 10, 553, 39, 13371
170, 10, 724, 39, 13371
180, 10, 866, 39, 13371
190, 12, 1009, 37, 13371
200, 12, 1144, 37, 13371
240, 13, 1814, 36, 13371
280, 13, 2476, 36, 13371
320, 13, 3132, 36, 13371
360, 14, 3753, 35, 13371
400, 14, 4389, 35, 13371
440, 14, 5043, 35, 13371
480, 17, 5614, 32, 13371
