threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 51, 13494
2, 2, 0, 50, 13494
3, 3, 0, 49, 13494
4, 4, 0, 48, 13494
5, 5, 0, 47, 13494
6, 6, 0, 46, 13494
7, 7, 0, 45, 13494
8, 8, 0, 44, 13494
9, 8, 1, 44, 13494
10, 9, 1, 43, 13494
15, 12, 3, 40, 13494
20, 13, 7, 39, 13494
25, 13, 12, 39, 13494
30, 13, 17, 39, 13494
35, 13, 22, 39, 13494
40, 13, 27, 39, 13494
45, 13, 32, 39, 13494
50, 13, 37, 39, 13494
55, 13, 42, 39, 13494
60, 13, 47, 39, 13494
65, 13, 52, 39, 13494
70, 13, 57, 39, 13494
75, 13, 62, 39, 13494
80, 13, 67, 39, 13494
85, 13, 72, 39, 13494
90, 13, 77, 39, 13494
95, 13, 82, 39, 13494
