threshold, tp, fp, fn, numKnownAddresses
10, 7, 0, 42, 13445
20, 8, 0, 41, 13445
30, 9, 0, 40, 13445
40, 9, 0, 40, 13445
50, 9, 0, 40, 13445
60, 9, 0, 40, 13445
70, 9, 0, 40, 13445
80, 9, 0, 40, 13445
90, 10, 0, 39, 13445
100, 10, 0, 39, 13445
110, 10, 2, 39, 13445
120, 10, 80, 39, 13445
130, 11, 222, 38, 13445
140, 11, 377, 38, 13445
150, 13, 578, 36, 13445
160, 13, 688, 36, 13445
170, 14, 799, 35, 13445
180, 14, 926, 35, 13445
190, 14, 1064, 35, 13445
200, 15, 1199, 34, 13445
240, 16, 1737, 33, 13445
280, 17, 2290, 32, 13445
320, 17, 2928, 32, 13445
360, 18, 3591, 31, 13445
400, 19, 4080, 30, 13445
440, 21, 4572, 28, 13445
480, 23, 5028, 26, 13445
