threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 49, 13226
2, 0, 2, 49, 13226
3, 1, 2, 48, 13226
4, 1, 3, 48, 13226
5, 1, 3, 48, 13226
6, 2, 3, 47, 13226
7, 3, 3, 46, 13226
8, 4, 3, 45, 13226
9, 4, 3, 45, 13226
10, 5, 3, 44, 13226
15, 5, 3, 44, 13226
20, 7, 3, 42, 13226
25, 8, 3, 41, 13226
30, 8, 4, 41, 13226
35, 8, 4, 41, 13226
40, 8, 4, 41, 13226
45, 8, 4, 41, 13226
50, 8, 5, 41, 13226
55, 10, 7, 39, 13226
60, 10, 12, 39, 13226
65, 10, 17, 39, 13226
70, 11, 21, 38, 13226
75, 11, 26, 38, 13226
80, 11, 31, 38, 13226
85, 11, 36, 38, 13226
90, 11, 41, 38, 13226
95, 11, 46, 38, 13226
