threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 43, 13393
2, 0, 2, 43, 13393
3, 1, 2, 42, 13393
4, 2, 2, 41, 13393
5, 2, 2, 41, 13393
6, 3, 2, 40, 13393
7, 4, 2, 39, 13393
8, 4, 2, 39, 13393
9, 4, 2, 39, 13393
10, 5, 2, 38, 13393
15, 7, 2, 36, 13393
20, 8, 2, 35, 13393
25, 8, 3, 35, 13393
30, 8, 3, 35, 13393
35, 8, 4, 35, 13393
40, 9, 4, 34, 13393
45, 9, 4, 34, 13393
50, 9, 4, 34, 13393
55, 10, 5, 33, 13393
60, 10, 10, 33, 13393
65, 10, 15, 33, 13393
70, 10, 20, 33, 13393
75, 10, 25, 33, 13393
80, 10, 30, 33, 13393
85, 10, 35, 33, 13393
90, 10, 40, 33, 13393
95, 10, 45, 33, 13393
