threshold, tp, fp, fn, numKnownAddresses
10, 4, 3, 44, 13222
20, 8, 4, 40, 13222
30, 8, 4, 40, 13222
40, 9, 4, 39, 13222
50, 10, 4, 38, 13222
60, 10, 4, 38, 13222
70, 10, 4, 38, 13222
80, 11, 4, 37, 13222
90, 12, 4, 36, 13222
100, 12, 4, 36, 13222
110, 12, 4, 36, 13222
120, 12, 6, 36, 13222
130, 12, 100, 36, 13222
140, 14, 248, 34, 13222
150, 14, 404, 34, 13222
160, 16, 565, 32, 13222
170, 16, 696, 32, 13222
180, 16, 840, 32, 13222
190, 16, 960, 32, 13222
200, 16, 1105, 32, 13222
240, 18, 1727, 30, 13222
280, 18, 2380, 30, 13222
320, 19, 2926, 29, 13222
360, 19, 3613, 29, 13222
400, 21, 4347, 27, 13222
440, 22, 5053, 26, 13222
480, 23, 5734, 25, 13222
