threshold, tp, fp, fn, numKnownAddresses
10, 5, 1, 46, 13250
20, 9, 3, 42, 13250
30, 9, 5, 42, 13250
40, 10, 6, 41, 13250
50, 10, 8, 41, 13250
60, 10, 8, 41, 13250
70, 11, 8, 40, 13250
80, 11, 8, 40, 13250
90, 12, 8, 39, 13250
100, 12, 8, 39, 13250
110, 12, 8, 39, 13250
120, 12, 46, 39, 13250
130, 13, 202, 38, 13250
140, 13, 373, 38, 13250
150, 15, 557, 36, 13250
160, 15, 727, 36, 13250
170, 15, 910, 36, 13250
180, 15, 1088, 36, 13250
190, 16, 1260, 35, 13250
200, 16, 1412, 35, 13250
240, 16, 1980, 35, 13250
280, 17, 2560, 34, 13250
320, 20, 3167, 31, 13250
360, 24, 3734, 27, 13250
400, 24, 4188, 27, 13250
440, 24, 4633, 27, 13250
480, 25, 5072, 26, 13250
