threshold, tp, fp, fn, numKnownAddresses
10, 5, 2, 44, 13237
20, 9, 2, 40, 13237
30, 9, 3, 40, 13237
40, 10, 4, 39, 13237
50, 10, 6, 39, 13237
60, 11, 7, 38, 13237
70, 11, 7, 38, 13237
80, 11, 7, 38, 13237
90, 11, 7, 38, 13237
100, 13, 8, 36, 13237
110, 13, 8, 36, 13237
120, 13, 11, 36, 13237
130, 14, 155, 35, 13237
140, 14, 325, 35, 13237
150, 14, 523, 35, 13237
160, 14, 734, 35, 13237
170, 14, 928, 35, 13237
180, 15, 1107, 34, 13237
190, 15, 1284, 34, 13237
200, 17, 1447, 32, 13237
240, 18, 2145, 31, 13237
280, 20, 2819, 29, 13237
320, 20, 3534, 29, 13237
360, 22, 4208, 27, 13237
400, 22, 4787, 27, 13237
440, 22, 5324, 27, 13237
480, 23, 5869, 26, 13237
