threshold, tp, fp, fn, numKnownAddresses
10, 6, 2, 44, 13448
20, 11, 3, 39, 13448
30, 11, 3, 39, 13448
40, 11, 3, 39, 13448
50, 11, 4, 39, 13448
60, 11, 6, 39, 13448
70, 11, 6, 39, 13448
80, 11, 9, 39, 13448
90, 12, 10, 38, 13448
100, 12, 10, 38, 13448
110, 12, 12, 38, 13448
120, 12, 42, 38, 13448
130, 12, 196, 38, 13448
140, 12, 379, 38, 13448
150, 13, 531, 37, 13448
160, 13, 689, 37, 13448
170, 13, 870, 37, 13448
180, 13, 1035, 37, 13448
190, 13, 1194, 37, 13448
200, 13, 1356, 37, 13448
240, 14, 2095, 36, 13448
280, 17, 2739, 33, 13448
320, 17, 3287, 33, 13448
360, 18, 3832, 32, 13448
400, 20, 4344, 30, 13448
440, 21, 4765, 29, 13448
480, 21, 5168, 29, 13448
