threshold, tp, fp, fn, numKnownPeers
1, 0, 1, 9, 14920, %!d(MISSING)
2, 1, 1, 8, 14920, %!d(MISSING)
3, 2, 1, 7, 14920, %!d(MISSING)
4, 3, 1, 6, 14920, %!d(MISSING)
5, 4, 1, 5, 14920, %!d(MISSING)
6, 5, 1, 4, 14920, %!d(MISSING)
7, 6, 1, 3, 14920, %!d(MISSING)
8, 7, 1, 2, 14920, %!d(MISSING)
9, 7, 2, 2, 14920, %!d(MISSING)
10, 7, 3, 2, 14920, %!d(MISSING)
15, 7, 8, 2, 14920, %!d(MISSING)
20, 7, 13, 2, 14920, %!d(MISSING)
25, 7, 18, 2, 14920, %!d(MISSING)
30, 7, 23, 2, 14920, %!d(MISSING)
35, 7, 28, 2, 14920, %!d(MISSING)
40, 7, 33, 2, 14920, %!d(MISSING)
45, 7, 38, 2, 14920, %!d(MISSING)
50, 7, 43, 2, 14920, %!d(MISSING)
55, 7, 48, 2, 14920, %!d(MISSING)
60, 7, 53, 2, 14920, %!d(MISSING)
65, 7, 58, 2, 14920, %!d(MISSING)
70, 7, 63, 2, 14920, %!d(MISSING)
75, 7, 68, 2, 14920, %!d(MISSING)
80, 7, 73, 2, 14920, %!d(MISSING)
85, 7, 78, 2, 14920, %!d(MISSING)
90, 7, 83, 2, 14920, %!d(MISSING)
95, 7, 88, 2, 14920, %!d(MISSING)
