threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 58, 13319
2, 1, 1, 57, 13319
3, 2, 1, 56, 13319
4, 2, 2, 56, 13319
5, 3, 2, 55, 13319
6, 4, 2, 54, 13319
7, 4, 2, 54, 13319
8, 4, 2, 54, 13319
9, 4, 3, 54, 13319
10, 5, 3, 53, 13319
15, 8, 3, 50, 13319
20, 8, 4, 50, 13319
25, 9, 4, 49, 13319
30, 9, 4, 49, 13319
35, 10, 4, 48, 13319
40, 11, 4, 47, 13319
45, 11, 5, 47, 13319
50, 11, 5, 47, 13319
55, 13, 5, 45, 13319
60, 14, 9, 44, 13319
65, 14, 14, 44, 13319
70, 14, 19, 44, 13319
75, 14, 24, 44, 13319
80, 14, 29, 44, 13319
85, 14, 34, 44, 13319
90, 14, 39, 44, 13319
95, 14, 44, 44, 13319
