threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 43, 13281
2, 1, 1, 43, 13281
3, 1, 2, 43, 13281
4, 1, 2, 43, 13281
5, 1, 2, 43, 13281
6, 2, 2, 42, 13281
7, 3, 2, 41, 13281
8, 3, 3, 41, 13281
9, 4, 3, 40, 13281
10, 5, 3, 39, 13281
15, 6, 3, 38, 13281
20, 8, 3, 36, 13281
25, 8, 3, 36, 13281
30, 8, 4, 36, 13281
35, 8, 4, 36, 13281
40, 8, 4, 36, 13281
45, 9, 6, 35, 13281
50, 9, 11, 35, 13281
55, 9, 16, 35, 13281
60, 9, 21, 35, 13281
65, 9, 26, 35, 13281
70, 9, 31, 35, 13281
75, 9, 36, 35, 13281
80, 9, 41, 35, 13281
85, 9, 46, 35, 13281
90, 9, 51, 35, 13281
95, 9, 56, 35, 13281
