threshold, tp, fp, fn, numKnownAddresses
10, 7, 0, 41, 13555
20, 8, 0, 40, 13555
30, 9, 0, 39, 13555
40, 9, 0, 39, 13555
50, 9, 2, 39, 13555
60, 10, 3, 38, 13555
70, 10, 4, 38, 13555
80, 10, 5, 38, 13555
90, 12, 6, 36, 13555
100, 12, 7, 36, 13555
110, 13, 9, 35, 13555
120, 13, 46, 35, 13555
130, 13, 181, 35, 13555
140, 14, 318, 34, 13555
150, 15, 446, 33, 13555
160, 15, 599, 33, 13555
170, 15, 727, 33, 13555
180, 15, 860, 33, 13555
190, 15, 980, 33, 13555
200, 16, 1124, 32, 13555
240, 17, 1678, 31, 13555
280, 18, 2474, 30, 13555
320, 19, 2997, 29, 13555
360, 21, 3498, 27, 13555
400, 22, 4011, 26, 13555
440, 24, 4465, 24, 13555
480, 25, 4846, 23, 13555
