threshold, tp, fp, fn
10, 4, 1, 14
20, 6, 1, 12
30, 6, 1, 12
40, 6, 1, 12
50, 6, 1, 12
60, 6, 3, 12
70, 6, 4, 12
80, 6, 4, 12
90, 7, 7, 11
100, 7, 7, 11
110, 7, 9, 11
120, 7, 10, 11
130, 9, 47, 9
140, 10, 97, 8
150, 11, 127, 7
160, 11, 170, 7
170, 11, 197, 7
180, 11, 243, 7
190, 11, 294, 7
200, 11, 338, 7
240, 11, 566, 7
280, 11, 804, 7
320, 11, 1092, 7
360, 12, 1429, 6
400, 12, 1798, 6
440, 12, 2191, 6
480, 12, 2584, 6
