threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 48, 13445
2, 2, 0, 47, 13445
3, 3, 0, 46, 13445
4, 4, 0, 45, 13445
5, 5, 0, 44, 13445
6, 6, 0, 43, 13445
7, 7, 0, 42, 13445
8, 8, 0, 41, 13445
9, 9, 0, 40, 13445
10, 10, 0, 39, 13445
15, 10, 5, 39, 13445
20, 10, 10, 39, 13445
25, 10, 15, 39, 13445
30, 10, 20, 39, 13445
35, 10, 25, 39, 13445
40, 10, 30, 39, 13445
45, 10, 35, 39, 13445
50, 10, 40, 39, 13445
55, 10, 45, 39, 13445
60, 10, 50, 39, 13445
65, 10, 55, 39, 13445
70, 10, 60, 39, 13445
75, 10, 65, 39, 13445
80, 10, 70, 39, 13445
85, 10, 75, 39, 13445
90, 10, 80, 39, 13445
95, 11, 84, 38, 13445
