threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 46, 13363
2, 2, 0, 45, 13363
3, 2, 1, 45, 13363
4, 2, 1, 45, 13363
5, 2, 2, 45, 13363
6, 2, 2, 45, 13363
7, 3, 2, 44, 13363
8, 4, 2, 43, 13363
9, 5, 2, 42, 13363
10, 6, 2, 41, 13363
15, 8, 4, 39, 13363
20, 10, 4, 37, 13363
25, 11, 4, 36, 13363
30, 11, 4, 36, 13363
35, 11, 4, 36, 13363
40, 11, 4, 36, 13363
45, 11, 4, 36, 13363
50, 11, 4, 36, 13363
55, 11, 9, 36, 13363
60, 11, 14, 36, 13363
65, 11, 19, 36, 13363
70, 11, 24, 36, 13363
75, 11, 29, 36, 13363
80, 11, 34, 36, 13363
85, 11, 39, 36, 13363
90, 11, 44, 36, 13363
95, 11, 49, 36, 13363
