threshold, tp, fp, fn, numKnownAddresses
10, 7, 2, 38, 13281
20, 9, 2, 36, 13281
30, 9, 2, 36, 13281
40, 10, 2, 35, 13281
50, 10, 2, 35, 13281
60, 11, 3, 34, 13281
70, 11, 3, 34, 13281
80, 11, 3, 34, 13281
90, 11, 3, 34, 13281
100, 11, 3, 34, 13281
110, 12, 3, 33, 13281
120, 12, 11, 33, 13281
130, 12, 111, 33, 13281
140, 13, 202, 32, 13281
150, 14, 288, 31, 13281
160, 14, 391, 31, 13281
170, 14, 487, 31, 13281
180, 14, 578, 31, 13281
190, 15, 683, 30, 13281
200, 16, 771, 29, 13281
240, 19, 1201, 26, 13281
280, 19, 1626, 26, 13281
320, 19, 2020, 26, 13281
360, 20, 2437, 25, 13281
400, 21, 2891, 24, 13281
440, 22, 3423, 23, 13281
480, 22, 3909, 23, 13281
