threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 47, 13392
2, 0, 1, 47, 13392
3, 1, 1, 46, 13392
4, 2, 1, 45, 13392
5, 3, 1, 44, 13392
6, 3, 1, 44, 13392
7, 3, 2, 44, 13392
8, 4, 2, 43, 13392
9, 4, 2, 43, 13392
10, 4, 2, 43, 13392
15, 7, 2, 40, 13392
20, 10, 2, 37, 13392
25, 10, 3, 37, 13392
30, 10, 3, 37, 13392
35, 10, 3, 37, 13392
40, 11, 3, 36, 13392
45, 13, 4, 34, 13392
50, 13, 9, 34, 13392
55, 13, 14, 34, 13392
60, 13, 19, 34, 13392
65, 13, 24, 34, 13392
70, 13, 29, 34, 13392
75, 13, 34, 34, 13392
80, 13, 39, 34, 13392
85, 13, 44, 34, 13392
90, 13, 49, 34, 13392
95, 13, 54, 34, 13392
