threshold, tp, fp, fn, numKnownAddresses
10, 5, 2, 38, 13393
20, 8, 3, 35, 13393
30, 8, 3, 35, 13393
40, 8, 4, 35, 13393
50, 9, 4, 34, 13393
60, 9, 4, 34, 13393
70, 9, 4, 34, 13393
80, 9, 4, 34, 13393
90, 9, 4, 34, 13393
100, 10, 5, 33, 13393
110, 10, 5, 33, 13393
120, 10, 11, 33, 13393
130, 11, 99, 32, 13393
140, 11, 185, 32, 13393
150, 11, 260, 32, 13393
160, 11, 347, 32, 13393
170, 11, 445, 32, 13393
180, 12, 524, 31, 13393
190, 12, 626, 31, 13393
200, 12, 725, 31, 13393
240, 13, 1148, 30, 13393
280, 15, 1637, 28, 13393
320, 16, 2108, 27, 13393
360, 18, 2542, 25, 13393
400, 19, 3155, 24, 13393
440, 20, 3721, 23, 13393
480, 20, 4276, 23, 13393
