threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 42, 13393
2, 2, 0, 41, 13393
3, 3, 0, 40, 13393
4, 4, 0, 39, 13393
5, 5, 0, 38, 13393
6, 6, 0, 37, 13393
7, 7, 0, 36, 13393
8, 8, 0, 35, 13393
9, 9, 0, 34, 13393
10, 9, 1, 34, 13393
15, 10, 5, 33, 13393
20, 10, 10, 33, 13393
25, 10, 15, 33, 13393
30, 10, 20, 33, 13393
35, 10, 25, 33, 13393
40, 10, 30, 33, 13393
45, 10, 35, 33, 13393
50, 10, 40, 33, 13393
55, 10, 45, 33, 13393
60, 10, 50, 33, 13393
65, 10, 55, 33, 13393
70, 10, 60, 33, 13393
75, 10, 65, 33, 13393
80, 10, 70, 33, 13393
85, 10, 75, 33, 13393
90, 10, 80, 33, 13393
95, 10, 85, 33, 13393
