threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 48, 13240
2, 1, 1, 48, 13240
3, 1, 2, 48, 13240
4, 1, 2, 48, 13240
5, 1, 2, 48, 13240
6, 2, 2, 47, 13240
7, 3, 2, 46, 13240
8, 3, 2, 46, 13240
9, 3, 2, 46, 13240
10, 3, 2, 46, 13240
15, 6, 2, 43, 13240
20, 9, 2, 40, 13240
25, 10, 2, 39, 13240
30, 10, 2, 39, 13240
35, 10, 4, 39, 13240
40, 10, 5, 39, 13240
45, 13, 6, 36, 13240
50, 13, 11, 36, 13240
55, 13, 16, 36, 13240
60, 13, 21, 36, 13240
65, 13, 26, 36, 13240
70, 13, 31, 36, 13240
75, 13, 36, 36, 13240
80, 13, 41, 36, 13240
85, 13, 46, 36, 13240
90, 13, 51, 36, 13240
95, 13, 56, 36, 13240
