threshold, tp, fp, fn
10, 5, 2, 12
20, 8, 2, 9
30, 8, 2, 9
40, 8, 2, 9
50, 8, 3, 9
60, 9, 3, 8
70, 9, 4, 8
80, 9, 4, 8
90, 9, 5, 8
100, 9, 5, 8
110, 9, 5, 8
120, 9, 5, 8
130, 9, 31, 8
140, 10, 71, 7
150, 10, 97, 7
160, 11, 131, 6
170, 11, 155, 6
180, 11, 190, 6
190, 12, 228, 5
200, 12, 267, 5
240, 13, 412, 4
280, 14, 574, 3
320, 14, 795, 3
360, 14, 1061, 3
400, 14, 1387, 3
440, 14, 1727, 3
480, 14, 2139, 3
