threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 51, 13601
2, 2, 0, 50, 13601
3, 3, 0, 49, 13601
4, 4, 0, 48, 13601
5, 5, 0, 47, 13601
6, 6, 0, 46, 13601
7, 6, 1, 46, 13601
8, 7, 1, 45, 13601
9, 7, 2, 45, 13601
10, 8, 2, 44, 13601
15, 13, 2, 39, 13601
20, 14, 4, 38, 13601
25, 14, 6, 38, 13601
30, 15, 7, 37, 13601
35, 16, 8, 36, 13601
40, 16, 13, 36, 13601
45, 16, 18, 36, 13601
50, 16, 23, 36, 13601
55, 16, 28, 36, 13601
60, 16, 33, 36, 13601
65, 16, 38, 36, 13601
70, 16, 43, 36, 13601
75, 16, 48, 36, 13601
80, 16, 53, 36, 13601
85, 16, 58, 36, 13601
90, 16, 63, 36, 13601
95, 16, 68, 36, 13601
