threshold, tp, fp, fn, numKnownAddresses
10, 5, 1, 43, 13388
20, 6, 2, 42, 13388
30, 6, 2, 42, 13388
40, 6, 2, 42, 13388
50, 6, 2, 42, 13388
60, 6, 2, 42, 13388
70, 6, 2, 42, 13388
80, 6, 2, 42, 13388
90, 6, 2, 42, 13388
100, 6, 2, 42, 13388
110, 6, 2, 42, 13388
120, 6, 16, 42, 13388
130, 6, 125, 42, 13388
140, 6, 247, 42, 13388
150, 6, 383, 42, 13388
160, 6, 515, 42, 13388
170, 8, 650, 40, 13388
180, 8, 765, 40, 13388
190, 9, 877, 39, 13388
200, 9, 1021, 39, 13388
240, 9, 1537, 39, 13388
280, 10, 2120, 38, 13388
320, 12, 2690, 36, 13388
360, 13, 3345, 35, 13388
400, 13, 3968, 35, 13388
440, 13, 4586, 35, 13388
480, 13, 5184, 35, 13388
