threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 44, 13454
2, 0, 2, 44, 13454
3, 1, 2, 43, 13454
4, 2, 2, 42, 13454
5, 2, 3, 42, 13454
6, 2, 3, 42, 13454
7, 2, 3, 42, 13454
8, 3, 3, 41, 13454
9, 4, 3, 40, 13454
10, 4, 3, 40, 13454
15, 7, 3, 37, 13454
20, 8, 3, 36, 13454
25, 8, 4, 36, 13454
30, 8, 5, 36, 13454
35, 8, 6, 36, 13454
40, 8, 6, 36, 13454
45, 9, 6, 35, 13454
50, 11, 9, 33, 13454
55, 11, 14, 33, 13454
60, 11, 19, 33, 13454
65, 11, 24, 33, 13454
70, 11, 29, 33, 13454
75, 11, 34, 33, 13454
80, 11, 39, 33, 13454
85, 11, 44, 33, 13454
90, 11, 49, 33, 13454
95, 11, 54, 33, 13454
