threshold, tp, fp, fn, numKnownAddresses
10, 3, 2, 49, 13197
20, 7, 3, 45, 13197
30, 7, 3, 45, 13197
40, 10, 3, 42, 13197
50, 10, 3, 42, 13197
60, 10, 4, 42, 13197
70, 10, 6, 42, 13197
80, 10, 6, 42, 13197
90, 10, 7, 42, 13197
100, 10, 7, 42, 13197
110, 10, 7, 42, 13197
120, 10, 8, 42, 13197
130, 11, 147, 41, 13197
140, 12, 295, 40, 13197
150, 12, 476, 40, 13197
160, 12, 659, 40, 13197
170, 14, 832, 38, 13197
180, 14, 998, 38, 13197
190, 15, 1151, 37, 13197
200, 16, 1328, 36, 13197
240, 16, 2056, 36, 13197
280, 17, 2747, 35, 13197
320, 18, 3436, 34, 13197
360, 18, 3955, 34, 13197
400, 19, 4531, 33, 13197
440, 21, 5102, 31, 13197
480, 25, 5628, 27, 13197
