threshold, tp, fp, fn, numKnownAddresses
10, 4, 2, 43, 13392
20, 9, 2, 38, 13392
30, 10, 2, 37, 13392
40, 10, 3, 37, 13392
50, 10, 3, 37, 13392
60, 11, 3, 36, 13392
70, 11, 4, 36, 13392
80, 11, 4, 36, 13392
90, 11, 4, 36, 13392
100, 12, 4, 35, 13392
110, 12, 4, 35, 13392
120, 13, 5, 34, 13392
130, 13, 115, 34, 13392
140, 13, 209, 34, 13392
150, 13, 318, 34, 13392
160, 13, 419, 34, 13392
170, 13, 519, 34, 13392
180, 14, 628, 33, 13392
190, 14, 712, 33, 13392
200, 14, 818, 33, 13392
240, 15, 1247, 32, 13392
280, 16, 1746, 31, 13392
320, 18, 2270, 29, 13392
360, 18, 2787, 29, 13392
400, 18, 3281, 29, 13392
440, 19, 3753, 28, 13392
480, 19, 4303, 28, 13392
