threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 44, 13596
2, 1, 1, 44, 13596
3, 1, 2, 44, 13596
4, 1, 3, 44, 13596
5, 2, 3, 43, 13596
6, 3, 3, 42, 13596
7, 3, 4, 42, 13596
8, 3, 5, 42, 13596
9, 4, 5, 41, 13596
10, 4, 5, 41, 13596
15, 5, 5, 40, 13596
20, 5, 5, 40, 13596
25, 8, 5, 37, 13596
30, 9, 6, 36, 13596
35, 9, 7, 36, 13596
40, 9, 8, 36, 13596
45, 11, 10, 34, 13596
50, 11, 15, 34, 13596
55, 11, 20, 34, 13596
60, 11, 25, 34, 13596
65, 11, 30, 34, 13596
70, 11, 35, 34, 13596
75, 11, 40, 34, 13596
80, 11, 45, 34, 13596
85, 11, 50, 34, 13596
90, 11, 55, 34, 13596
95, 11, 60, 34, 13596
