threshold, tp, fp, fn, numKnownAddresses
10, 3, 1, 48, 13335
20, 8, 1, 43, 13335
30, 9, 1, 42, 13335
40, 9, 1, 42, 13335
50, 9, 1, 42, 13335
60, 9, 3, 42, 13335
70, 9, 5, 42, 13335
80, 9, 5, 42, 13335
90, 10, 6, 41, 13335
100, 10, 6, 41, 13335
110, 10, 6, 41, 13335
120, 10, 7, 41, 13335
130, 10, 134, 41, 13335
140, 10, 293, 41, 13335
150, 10, 451, 41, 13335
160, 11, 614, 40, 13335
170, 11, 770, 40, 13335
180, 11, 936, 40, 13335
190, 11, 1108, 40, 13335
200, 11, 1281, 40, 13335
240, 12, 1924, 39, 13335
280, 13, 2592, 38, 13335
320, 14, 3275, 37, 13335
360, 16, 3861, 35, 13335
400, 16, 4402, 35, 13335
440, 17, 4933, 34, 13335
480, 19, 5361, 32, 13335
