threshold, tp, fp, fn, numKnownAddresses
10, 2, 0, 50, 13494
20, 8, 0, 44, 13494
30, 8, 0, 44, 13494
40, 10, 1, 42, 13494
50, 12, 2, 40, 13494
60, 12, 2, 40, 13494
70, 12, 3, 40, 13494
80, 12, 3, 40, 13494
90, 12, 3, 40, 13494
100, 13, 3, 39, 13494
110, 13, 3, 39, 13494
120, 13, 4, 39, 13494
130, 13, 102, 39, 13494
140, 13, 234, 39, 13494
150, 13, 378, 39, 13494
160, 14, 502, 38, 13494
170, 14, 642, 38, 13494
180, 14, 777, 38, 13494
190, 14, 924, 38, 13494
200, 15, 1077, 37, 13494
240, 18, 1656, 34, 13494
280, 19, 2180, 33, 13494
320, 19, 2702, 33, 13494
360, 20, 3263, 32, 13494
400, 20, 4014, 32, 13494
440, 22, 4504, 30, 13494
480, 24, 4970, 28, 13494
