threshold, tp, fp, fn, numKnownAddresses
10, 3, 1, 40, 13243
20, 8, 1, 35, 13243
30, 8, 1, 35, 13243
40, 8, 2, 35, 13243
50, 8, 2, 35, 13243
60, 8, 2, 35, 13243
70, 8, 2, 35, 13243
80, 8, 2, 35, 13243
90, 8, 2, 35, 13243
100, 8, 2, 35, 13243
110, 8, 2, 35, 13243
120, 8, 5, 35, 13243
130, 9, 135, 34, 13243
140, 10, 270, 33, 13243
150, 11, 366, 32, 13243
160, 11, 464, 32, 13243
170, 12, 582, 31, 13243
180, 14, 699, 29, 13243
190, 14, 805, 29, 13243
200, 14, 906, 29, 13243
240, 14, 1312, 29, 13243
280, 16, 1639, 27, 13243
320, 17, 2009, 26, 13243
360, 18, 2394, 25, 13243
400, 19, 2884, 24, 13243
440, 21, 3329, 22, 13243
480, 22, 3733, 21, 13243
