threshold, tp, fp, fn, numKnownAddresses
10, 3, 2, 46, 13240
20, 10, 2, 39, 13240
30, 10, 2, 39, 13240
40, 10, 2, 39, 13240
50, 10, 3, 39, 13240
60, 10, 4, 39, 13240
70, 11, 5, 38, 13240
80, 11, 6, 38, 13240
90, 12, 6, 37, 13240
100, 13, 6, 36, 13240
110, 13, 6, 36, 13240
120, 13, 7, 36, 13240
130, 13, 110, 36, 13240
140, 13, 251, 36, 13240
150, 14, 401, 35, 13240
160, 14, 560, 35, 13240
170, 16, 715, 33, 13240
180, 16, 880, 33, 13240
190, 16, 1045, 33, 13240
200, 16, 1178, 33, 13240
240, 18, 1796, 31, 13240
280, 18, 2461, 31, 13240
320, 19, 3141, 30, 13240
360, 22, 3885, 27, 13240
400, 23, 4603, 26, 13240
440, 23, 5317, 26, 13240
480, 23, 5926, 26, 13240
