threshold, tp, fp, fn, numKnownAddresses
10, 5, 1, 39, 13281
20, 8, 1, 36, 13281
30, 8, 2, 36, 13281
40, 9, 3, 35, 13281
50, 9, 3, 35, 13281
60, 9, 5, 35, 13281
70, 10, 5, 34, 13281
80, 10, 5, 34, 13281
90, 10, 5, 34, 13281
100, 10, 5, 34, 13281
110, 10, 5, 34, 13281
120, 11, 5, 33, 13281
130, 11, 93, 33, 13281
140, 11, 183, 33, 13281
150, 11, 294, 33, 13281
160, 11, 403, 33, 13281
170, 12, 491, 32, 13281
180, 12, 604, 32, 13281
190, 12, 743, 32, 13281
200, 12, 866, 32, 13281
240, 16, 1355, 28, 13281
280, 17, 1782, 27, 13281
320, 18, 2366, 26, 13281
360, 20, 2941, 24, 13281
400, 20, 3483, 24, 13281
440, 20, 4087, 24, 13281
480, 20, 4676, 24, 13281
