threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 45, 13324
2, 1, 1, 44, 13324
3, 1, 2, 44, 13324
4, 1, 2, 44, 13324
5, 1, 2, 44, 13324
6, 1, 2, 44, 13324
7, 1, 2, 44, 13324
8, 2, 2, 43, 13324
9, 3, 2, 42, 13324
10, 3, 2, 42, 13324
15, 5, 2, 40, 13324
20, 5, 2, 40, 13324
25, 8, 3, 37, 13324
30, 8, 4, 37, 13324
35, 8, 4, 37, 13324
40, 8, 5, 37, 13324
45, 8, 5, 37, 13324
50, 8, 5, 37, 13324
55, 8, 6, 37, 13324
60, 8, 7, 37, 13324
65, 9, 8, 36, 13324
70, 10, 12, 35, 13324
75, 10, 17, 35, 13324
80, 10, 22, 35, 13324
85, 10, 27, 35, 13324
90, 10, 32, 35, 13324
95, 10, 37, 35, 13324
