threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 50, 13448
2, 1, 1, 49, 13448
3, 2, 1, 48, 13448
4, 3, 1, 47, 13448
5, 3, 2, 47, 13448
6, 4, 2, 46, 13448
7, 5, 2, 45, 13448
8, 5, 2, 45, 13448
9, 5, 2, 45, 13448
10, 5, 2, 45, 13448
15, 6, 3, 44, 13448
20, 8, 3, 42, 13448
25, 11, 3, 39, 13448
30, 11, 3, 39, 13448
35, 11, 4, 39, 13448
40, 11, 4, 39, 13448
45, 11, 8, 39, 13448
50, 12, 12, 38, 13448
55, 12, 17, 38, 13448
60, 12, 22, 38, 13448
65, 12, 27, 38, 13448
70, 12, 32, 38, 13448
75, 12, 37, 38, 13448
80, 12, 42, 38, 13448
85, 12, 47, 38, 13448
90, 12, 52, 38, 13448
95, 12, 57, 38, 13448
