threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 44, 13281
2, 0, 1, 44, 13281
3, 1, 1, 43, 13281
4, 2, 1, 42, 13281
5, 2, 1, 42, 13281
6, 2, 1, 42, 13281
7, 2, 1, 42, 13281
8, 3, 1, 41, 13281
9, 4, 1, 40, 13281
10, 4, 1, 40, 13281
15, 5, 1, 39, 13281
20, 6, 1, 38, 13281
25, 8, 1, 36, 13281
30, 9, 2, 35, 13281
35, 9, 3, 35, 13281
40, 9, 4, 35, 13281
45, 11, 5, 33, 13281
50, 11, 10, 33, 13281
55, 11, 15, 33, 13281
60, 11, 20, 33, 13281
65, 11, 25, 33, 13281
70, 11, 30, 33, 13281
75, 11, 35, 33, 13281
80, 11, 40, 33, 13281
85, 11, 45, 33, 13281
90, 11, 50, 33, 13281
95, 11, 55, 33, 13281
