threshold, tp, fp, fn, numKnownAddresses
10, 5, 3, 44, 13226
20, 7, 3, 42, 13226
30, 8, 3, 41, 13226
40, 8, 4, 41, 13226
50, 8, 4, 41, 13226
60, 8, 4, 41, 13226
70, 8, 5, 41, 13226
80, 9, 5, 40, 13226
90, 9, 5, 40, 13226
100, 10, 5, 39, 13226
110, 10, 5, 39, 13226
120, 10, 9, 39, 13226
130, 11, 171, 38, 13226
140, 12, 437, 37, 13226
150, 13, 591, 36, 13226
160, 15, 752, 34, 13226
170, 16, 1020, 33, 13226
180, 16, 1178, 33, 13226
190, 17, 1366, 32, 13226
200, 17, 1533, 32, 13226
240, 17, 2301, 32, 13226
280, 17, 2996, 32, 13226
320, 19, 3642, 30, 13226
360, 20, 4339, 29, 13226
400, 21, 4986, 28, 13226
440, 22, 5633, 27, 13226
480, 22, 6111, 27, 13226
