threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 48, 13222
2, 1, 1, 47, 13222
3, 1, 2, 47, 13222
4, 1, 3, 47, 13222
5, 2, 3, 46, 13222
6, 3, 3, 45, 13222
7, 4, 3, 44, 13222
8, 4, 3, 44, 13222
9, 4, 3, 44, 13222
10, 4, 3, 44, 13222
15, 5, 4, 43, 13222
20, 8, 4, 40, 13222
25, 8, 4, 40, 13222
30, 8, 4, 40, 13222
35, 10, 4, 38, 13222
40, 10, 4, 38, 13222
45, 12, 7, 36, 13222
50, 12, 12, 36, 13222
55, 12, 17, 36, 13222
60, 12, 22, 36, 13222
65, 12, 27, 36, 13222
70, 12, 32, 36, 13222
75, 12, 37, 36, 13222
80, 12, 42, 36, 13222
85, 12, 47, 36, 13222
90, 12, 52, 36, 13222
95, 12, 57, 36, 13222
