threshold, tp, fp, fn, numKnownAddresses
10, 4, 0, 51, 13560
20, 8, 2, 47, 13560
30, 9, 3, 46, 13560
40, 9, 5, 46, 13560
50, 9, 6, 46, 13560
60, 11, 8, 44, 13560
70, 11, 9, 44, 13560
80, 11, 9, 44, 13560
90, 11, 9, 44, 13560
100, 11, 10, 44, 13560
110, 15, 10, 40, 13560
120, 15, 15, 40, 13560
130, 16, 173, 39, 13560
140, 16, 319, 39, 13560
150, 16, 459, 39, 13560
160, 17, 626, 38, 13560
170, 18, 785, 37, 13560
180, 19, 919, 36, 13560
190, 19, 1051, 36, 13560
200, 19, 1180, 36, 13560
240, 20, 1718, 35, 13560
280, 22, 2326, 33, 13560
320, 24, 2833, 31, 13560
360, 25, 3385, 30, 13560
400, 26, 3917, 29, 13560
440, 26, 4448, 29, 13560
480, 28, 5150, 27, 13560
