threshold, tp, fp, fn, numKnownAddresses
10, 4, 1, 46, 13444
20, 9, 2, 41, 13444
30, 9, 2, 41, 13444
40, 9, 2, 41, 13444
50, 9, 3, 41, 13444
60, 12, 3, 38, 13444
70, 12, 3, 38, 13444
80, 12, 4, 38, 13444
90, 12, 4, 38, 13444
100, 12, 4, 38, 13444
110, 12, 5, 38, 13444
120, 12, 8, 38, 13444
130, 12, 110, 38, 13444
140, 13, 242, 37, 13444
150, 14, 405, 36, 13444
160, 15, 542, 35, 13444
170, 15, 672, 35, 13444
180, 15, 811, 35, 13444
190, 15, 962, 35, 13444
200, 16, 1085, 34, 13444
240, 19, 1533, 31, 13444
280, 19, 1990, 31, 13444
320, 19, 2437, 31, 13444
360, 19, 2902, 31, 13444
400, 20, 3334, 30, 13444
440, 20, 3766, 30, 13444
480, 20, 4197, 30, 13444
