threshold, tp, fp, fn
10, 4, 2, 45
20, 10, 2, 39
30, 12, 2, 37
40, 12, 3, 37
50, 12, 3, 37
60, 12, 4, 37
70, 12, 4, 37
80, 12, 5, 37
90, 13, 5, 36
100, 13, 7, 36
110, 14, 7, 35
120, 14, 10, 35
130, 17, 146, 32
140, 17, 340, 32
150, 18, 507, 31
160, 18, 651, 31
170, 18, 796, 31
180, 19, 970, 30
190, 19, 1136, 30
200, 20, 1318, 29
240, 21, 1862, 28
280, 22, 2345, 27
320, 25, 2863, 24
360, 27, 3315, 22
400, 28, 3809, 21
440, 29, 4322, 20
480, 29, 4726, 20
