threshold, tp, fp, fn, numKnownAddresses
10, 4, 2, 43, 13363
20, 11, 4, 36, 13363
30, 11, 4, 36, 13363
40, 11, 4, 36, 13363
50, 11, 4, 36, 13363
60, 11, 4, 36, 13363
70, 11, 4, 36, 13363
80, 11, 4, 36, 13363
90, 11, 4, 36, 13363
100, 11, 4, 36, 13363
110, 11, 4, 36, 13363
120, 11, 9, 36, 13363
130, 11, 88, 36, 13363
140, 11, 203, 36, 13363
150, 11, 332, 36, 13363
160, 11, 441, 36, 13363
170, 11, 540, 36, 13363
180, 11, 658, 36, 13363
190, 11, 786, 36, 13363
200, 12, 898, 35, 13363
240, 12, 1377, 35, 13363
280, 14, 1811, 33, 13363
320, 14, 2272, 33, 13363
360, 14, 2720, 33, 13363
400, 14, 3268, 33, 13363
440, 14, 3716, 33, 13363
480, 16, 4178, 31, 13363
