threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 54, 13401
2, 1, 1, 53, 13401
3, 2, 1, 52, 13401
4, 2, 2, 52, 13401
5, 3, 2, 51, 13401
6, 3, 2, 51, 13401
7, 4, 2, 50, 13401
8, 4, 3, 50, 13401
9, 5, 3, 49, 13401
10, 5, 3, 49, 13401
15, 7, 3, 47, 13401
20, 8, 3, 46, 13401
25, 9, 3, 45, 13401
30, 10, 3, 44, 13401
35, 10, 3, 44, 13401
40, 10, 4, 44, 13401
45, 10, 4, 44, 13401
50, 10, 4, 44, 13401
55, 10, 5, 44, 13401
60, 12, 8, 42, 13401
65, 12, 13, 42, 13401
70, 13, 17, 41, 13401
75, 13, 22, 41, 13401
80, 13, 27, 41, 13401
85, 13, 32, 41, 13401
90, 13, 37, 41, 13401
95, 13, 42, 41, 13401
