threshold, tp, fp, fn, numKnownPeers
1, 0, 1, 18
2, 0, 2, 18
3, 1, 2, 17
4, 1, 3, 17
5, 2, 3, 16
6, 3, 3, 15
7, 4, 3, 14
8, 5, 3, 13
9, 6, 3, 12
10, 7, 3, 11
15, 8, 3, 10
20, 8, 3, 10
25, 8, 3, 10
30, 8, 4, 10
35, 8, 6, 10
40, 8, 8, 10
45, 10, 9, 8
50, 12, 11, 6
55, 12, 16, 6
60, 12, 21, 6
65, 12, 26, 6
70, 12, 31, 6
75, 12, 36, 6
80, 12, 41, 6
85, 12, 46, 6
90, 12, 51, 6
95, 12, 56, 6
