threshold, tp, fp, fn, numKnownAddresses
10, 3, 1, 41, 13370
20, 8, 1, 36, 13370
30, 8, 1, 36, 13370
40, 8, 1, 36, 13370
50, 8, 2, 36, 13370
60, 8, 2, 36, 13370
70, 8, 2, 36, 13370
80, 8, 2, 36, 13370
90, 8, 2, 36, 13370
100, 8, 2, 36, 13370
110, 8, 2, 36, 13370
120, 8, 2, 36, 13370
130, 8, 88, 36, 13370
140, 10, 214, 34, 13370
150, 10, 316, 34, 13370
160, 10, 417, 34, 13370
170, 11, 512, 33, 13370
180, 11, 627, 33, 13370
190, 12, 724, 32, 13370
200, 12, 815, 32, 13370
240, 14, 1177, 30, 13370
280, 16, 1563, 28, 13370
320, 17, 1958, 27, 13370
360, 19, 2338, 25, 13370
400, 20, 2792, 24, 13370
440, 20, 3180, 24, 13370
480, 21, 3541, 23, 13370
