threshold, tp, fp, fn, numKnownAddresses
10, 5, 2, 39, 13388
20, 9, 3, 35, 13388
30, 9, 3, 35, 13388
40, 9, 3, 35, 13388
50, 9, 3, 35, 13388
60, 9, 3, 35, 13388
70, 9, 3, 35, 13388
80, 9, 3, 35, 13388
90, 9, 3, 35, 13388
100, 9, 3, 35, 13388
110, 9, 3, 35, 13388
120, 9, 3, 35, 13388
130, 9, 98, 35, 13388
140, 9, 214, 35, 13388
150, 9, 337, 35, 13388
160, 11, 464, 33, 13388
170, 11, 572, 33, 13388
180, 12, 706, 32, 13388
190, 12, 814, 32, 13388
200, 13, 956, 31, 13388
240, 15, 1365, 29, 13388
280, 17, 1751, 27, 13388
320, 18, 2132, 26, 13388
360, 19, 2502, 25, 13388
400, 21, 2887, 23, 13388
440, 22, 3309, 22, 13388
480, 22, 3714, 22, 13388
