threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 44, 13340
2, 2, 0, 43, 13340
3, 3, 0, 42, 13340
4, 3, 1, 42, 13340
5, 3, 1, 42, 13340
6, 3, 1, 42, 13340
7, 4, 1, 41, 13340
8, 5, 1, 40, 13340
9, 5, 1, 40, 13340
10, 5, 1, 40, 13340
15, 6, 1, 39, 13340
20, 8, 1, 37, 13340
25, 8, 1, 37, 13340
30, 8, 1, 37, 13340
35, 9, 1, 36, 13340
40, 9, 1, 36, 13340
45, 11, 2, 34, 13340
50, 12, 6, 33, 13340
55, 12, 11, 33, 13340
60, 12, 16, 33, 13340
65, 12, 21, 33, 13340
70, 12, 26, 33, 13340
75, 12, 31, 33, 13340
80, 12, 36, 33, 13340
85, 12, 41, 33, 13340
90, 12, 46, 33, 13340
95, 12, 51, 33, 13340
