threshold, tp, fp, fn
10, 4, 0, 43
20, 8, 1, 39
30, 8, 1, 39
40, 8, 2, 39
50, 8, 2, 39
60, 8, 3, 39
70, 9, 3, 38
80, 9, 3, 38
90, 10, 3, 37
100, 10, 3, 37
110, 10, 3, 37
120, 10, 18, 37
130, 10, 124, 37
140, 11, 218, 36
150, 11, 321, 36
160, 11, 419, 36
170, 11, 500, 36
180, 11, 606, 36
190, 12, 716, 35
200, 12, 810, 35
240, 17, 1148, 30
280, 17, 1484, 30
320, 17, 1796, 30
360, 18, 2166, 29
400, 19, 2484, 28
440, 19, 2823, 28
480, 20, 3262, 27
