threshold, tp, fp, fn, numKnownAddresses
10, 5, 2, 40, 13324
20, 8, 4, 37, 13324
30, 8, 4, 37, 13324
40, 8, 5, 37, 13324
50, 8, 5, 37, 13324
60, 8, 7, 37, 13324
70, 8, 8, 37, 13324
80, 8, 8, 37, 13324
90, 8, 8, 37, 13324
100, 9, 8, 36, 13324
110, 10, 8, 35, 13324
120, 10, 11, 35, 13324
130, 10, 112, 35, 13324
140, 10, 227, 35, 13324
150, 12, 325, 33, 13324
160, 12, 445, 33, 13324
170, 13, 561, 32, 13324
180, 13, 795, 32, 13324
190, 13, 921, 32, 13324
200, 14, 1059, 31, 13324
240, 16, 1641, 29, 13324
280, 16, 2194, 29, 13324
320, 17, 2826, 28, 13324
360, 18, 3446, 27, 13324
400, 18, 4056, 27, 13324
440, 18, 4687, 27, 13324
480, 20, 5371, 25, 13324
