threshold, tp, fp, fn, numKnownAddresses
10, 7, 2, 37, 13219
20, 9, 2, 35, 13219
30, 9, 2, 35, 13219
40, 9, 2, 35, 13219
50, 9, 4, 35, 13219
60, 10, 4, 34, 13219
70, 10, 4, 34, 13219
80, 10, 6, 34, 13219
90, 10, 6, 34, 13219
100, 10, 6, 34, 13219
110, 10, 6, 34, 13219
120, 10, 13, 34, 13219
130, 10, 126, 34, 13219
140, 11, 228, 33, 13219
150, 12, 356, 32, 13219
160, 13, 468, 31, 13219
170, 14, 585, 30, 13219
180, 14, 715, 30, 13219
190, 14, 830, 30, 13219
200, 14, 942, 30, 13219
240, 16, 1401, 28, 13219
280, 17, 2045, 27, 13219
320, 18, 2574, 26, 13219
360, 19, 3180, 25, 13219
400, 19, 3785, 25, 13219
440, 20, 4324, 24, 13219
480, 20, 4970, 24, 13219
