threshold, tp, fp, fn, numKnownAddresses
10, 6, 0, 36, 13333
20, 8, 0, 34, 13333
30, 8, 1, 34, 13333
40, 8, 2, 34, 13333
50, 8, 2, 34, 13333
60, 8, 3, 34, 13333
70, 8, 3, 34, 13333
80, 8, 3, 34, 13333
90, 8, 3, 34, 13333
100, 8, 3, 34, 13333
110, 8, 3, 34, 13333
120, 8, 7, 34, 13333
130, 9, 105, 33, 13333
140, 10, 212, 32, 13333
150, 11, 318, 31, 13333
160, 11, 431, 31, 13333
170, 11, 537, 31, 13333
180, 11, 639, 31, 13333
190, 11, 785, 31, 13333
200, 11, 908, 31, 13333
240, 11, 1385, 31, 13333
280, 11, 1913, 31, 13333
320, 12, 2425, 30, 13333
360, 14, 2841, 28, 13333
400, 15, 3280, 27, 13333
440, 16, 3625, 26, 13333
480, 16, 3954, 26, 13333
