threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 44, 13281
2, 2, 0, 43, 13281
3, 3, 0, 42, 13281
4, 4, 0, 41, 13281
5, 5, 0, 40, 13281
6, 6, 0, 39, 13281
7, 6, 1, 39, 13281
8, 6, 1, 39, 13281
9, 6, 2, 39, 13281
10, 7, 2, 38, 13281
15, 9, 2, 36, 13281
20, 9, 2, 36, 13281
25, 10, 2, 35, 13281
30, 11, 2, 34, 13281
35, 11, 3, 34, 13281
40, 12, 7, 33, 13281
45, 12, 12, 33, 13281
50, 12, 17, 33, 13281
55, 12, 22, 33, 13281
60, 12, 27, 33, 13281
65, 12, 31, 33, 13281
70, 12, 36, 33, 13281
75, 12, 41, 33, 13281
80, 12, 46, 33, 13281
85, 12, 51, 33, 13281
90, 12, 56, 33, 13281
95, 12, 61, 33, 13281
