threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 43, 13388
2, 1, 1, 43, 13388
3, 1, 1, 43, 13388
4, 1, 1, 43, 13388
5, 1, 1, 43, 13388
6, 1, 2, 43, 13388
7, 2, 2, 42, 13388
8, 3, 2, 41, 13388
9, 3, 2, 41, 13388
10, 4, 2, 40, 13388
15, 5, 2, 39, 13388
20, 7, 3, 37, 13388
25, 9, 3, 35, 13388
30, 9, 3, 35, 13388
35, 9, 3, 35, 13388
40, 9, 5, 35, 13388
45, 9, 10, 35, 13388
50, 9, 15, 35, 13388
55, 9, 20, 35, 13388
60, 9, 25, 35, 13388
65, 9, 30, 35, 13388
70, 9, 35, 35, 13388
75, 9, 40, 35, 13388
80, 9, 45, 35, 13388
85, 9, 50, 35, 13388
90, 9, 55, 35, 13388
95, 9, 60, 35, 13388
