threshold, tp, fp, fn, numKnownPeers
10, 7, 1, 2, 14920, %!d(MISSING)
20, 7, 10, 2, 14920, %!d(MISSING)
30, 7, 14, 2, 14920, %!d(MISSING)
40, 7, 14, 2, 14920, %!d(MISSING)
50, 7, 14, 2, 14920, %!d(MISSING)
60, 7, 14, 2, 14920, %!d(MISSING)
70, 7, 14, 2, 14920, %!d(MISSING)
80, 7, 15, 2, 14920, %!d(MISSING)
90, 7, 15, 2, 14920, %!d(MISSING)
100, 7, 15, 2, 14920, %!d(MISSING)
110, 7, 15, 2, 14920, %!d(MISSING)
120, 7, 16, 2, 14920, %!d(MISSING)
130, 7, 39, 2, 14920, %!d(MISSING)
140, 7, 66, 2, 14920, %!d(MISSING)
150, 7, 93, 2, 14920, %!d(MISSING)
160, 7, 134, 2, 14920, %!d(MISSING)
170, 7, 175, 2, 14920, %!d(MISSING)
180, 7, 213, 2, 14920, %!d(MISSING)
190, 7, 246, 2, 14920, %!d(MISSING)
200, 7, 289, 2, 14920, %!d(MISSING)
240, 7, 409, 2, 14920, %!d(MISSING)
280, 7, 1158, 2, 14920, %!d(MISSING)
320, 7, 1983, 2, 14920, %!d(MISSING)
360, 7, 2802, 2, 14920, %!d(MISSING)
400, 7, 3663, 2, 14920, %!d(MISSING)
440, 7, 4283, 2, 14920, %!d(MISSING)
480, 7, 4901, 2, 14920, %!d(MISSING)
