threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 48, 13371
2, 2, 0, 47, 13371
3, 3, 0, 46, 13371
4, 4, 0, 45, 13371
5, 5, 0, 44, 13371
6, 6, 0, 43, 13371
7, 7, 0, 42, 13371
8, 8, 0, 41, 13371
9, 9, 0, 40, 13371
10, 9, 1, 40, 13371
15, 10, 5, 39, 13371
20, 10, 10, 39, 13371
25, 10, 15, 39, 13371
30, 10, 20, 39, 13371
35, 10, 25, 39, 13371
40, 10, 30, 39, 13371
45, 10, 35, 39, 13371
50, 10, 40, 39, 13371
55, 10, 45, 39, 13371
60, 10, 50, 39, 13371
65, 10, 55, 39, 13371
70, 10, 60, 39, 13371
75, 10, 65, 39, 13371
80, 10, 70, 39, 13371
85, 10, 75, 39, 13371
90, 10, 80, 39, 13371
95, 10, 85, 39, 13371
