threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 48, 13388
2, 1, 1, 47, 13388
3, 2, 1, 46, 13388
4, 3, 1, 45, 13388
5, 4, 1, 44, 13388
6, 5, 1, 43, 13388
7, 6, 1, 42, 13388
8, 6, 2, 42, 13388
9, 6, 3, 42, 13388
10, 6, 4, 42, 13388
15, 6, 9, 42, 13388
20, 6, 14, 42, 13388
25, 6, 19, 42, 13388
30, 6, 24, 42, 13388
35, 6, 29, 42, 13388
40, 6, 34, 42, 13388
45, 6, 39, 42, 13388
50, 6, 44, 42, 13388
55, 6, 49, 42, 13388
60, 6, 54, 42, 13388
65, 6, 59, 42, 13388
70, 6, 64, 42, 13388
75, 6, 69, 42, 13388
80, 6, 74, 42, 13388
85, 6, 79, 42, 13388
90, 6, 84, 42, 13388
95, 6, 89, 42, 13388
