threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 43, 13280
2, 0, 1, 43, 13280
3, 0, 1, 43, 13280
4, 0, 1, 43, 13280
5, 0, 1, 43, 13280
6, 0, 1, 43, 13280
7, 1, 1, 42, 13280
8, 2, 1, 41, 13280
9, 2, 2, 41, 13280
10, 3, 2, 40, 13280
15, 5, 2, 38, 13280
20, 7, 2, 36, 13280
25, 7, 2, 36, 13280
30, 7, 2, 36, 13280
35, 7, 3, 36, 13280
40, 7, 8, 36, 13280
45, 7, 13, 36, 13280
50, 7, 18, 36, 13280
55, 7, 23, 36, 13280
60, 7, 28, 36, 13280
65, 7, 33, 36, 13280
70, 7, 38, 36, 13280
75, 7, 43, 36, 13280
80, 7, 48, 36, 13280
85, 7, 53, 36, 13280
90, 7, 58, 36, 13280
95, 7, 63, 36, 13280
