threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 47, 13555
2, 2, 0, 46, 13555
3, 3, 0, 45, 13555
4, 4, 0, 44, 13555
5, 5, 0, 43, 13555
6, 6, 0, 42, 13555
7, 7, 0, 41, 13555
8, 8, 0, 40, 13555
9, 9, 0, 39, 13555
10, 9, 1, 39, 13555
15, 10, 5, 38, 13555
20, 12, 8, 36, 13555
25, 13, 12, 35, 13555
30, 13, 17, 35, 13555
35, 13, 22, 35, 13555
40, 13, 27, 35, 13555
45, 13, 32, 35, 13555
50, 13, 37, 35, 13555
55, 13, 42, 35, 13555
60, 13, 47, 35, 13555
65, 13, 52, 35, 13555
70, 13, 57, 35, 13555
75, 13, 62, 35, 13555
80, 13, 67, 35, 13555
85, 13, 72, 35, 13555
90, 13, 77, 35, 13555
95, 13, 82, 35, 13555
