threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 54, 13560
2, 2, 0, 53, 13560
3, 3, 0, 52, 13560
4, 4, 0, 51, 13560
5, 4, 1, 51, 13560
6, 5, 1, 50, 13560
7, 6, 1, 49, 13560
8, 7, 1, 48, 13560
9, 7, 2, 48, 13560
10, 8, 2, 47, 13560
15, 9, 6, 46, 13560
20, 11, 9, 44, 13560
25, 15, 10, 40, 13560
30, 15, 15, 40, 13560
35, 15, 20, 40, 13560
40, 15, 25, 40, 13560
45, 15, 30, 40, 13560
50, 15, 35, 40, 13560
55, 15, 40, 40, 13560
60, 15, 45, 40, 13560
65, 15, 50, 40, 13560
70, 15, 55, 40, 13560
75, 15, 60, 40, 13560
80, 15, 65, 40, 13560
85, 15, 70, 40, 13560
90, 15, 75, 40, 13560
95, 15, 80, 40, 13560
